"question","response"
"What are STEM Widgets?","A scene with ruler (two points give length), angles (vertex and two rays show angle in degrees), and graph paper (grid and snap). Mode cycle via top-left hotzone; top-right clears. Implemented in renderer/scenes/stem_widgets."
"What CLI commands exist?","smartpi run (start app), smartpi calibrate (wizard), smartpi bom (print BOM), smartpi healthcheck (camera and FPS), smartpi export-diagnostics (bundle for bug reports). Use --config-dir to set config path; run accepts --fullscreen."
"Where is config directory?","Default config directory is configs/. Override with smartpi --config-dir /path/to/configs run (or calibrate, healthcheck, etc.). App and wizard load app.yaml and profiles from this directory; calibration.yaml is stored there."
"What is in configs/profiles?","configs/profiles/ contains lighting presets: classroom.yaml, dark_room.yaml, daylight.yaml. Each can override threshold, blur, and exposure. Set profile name in app.yaml (e.g. profile: classroom)."
"What is logging.yaml?","configs/logging.yaml sets log level (DEBUG, INFO, WARNING, ERROR) and optional log file path. Loaded by the app if present; not all code paths may use it yet."
"How do I disable screen blanking?","Raspberry Pi Configuration → Display → Screen Blanking → Disable. So the projection stays on. Alternatively use raspi-config or xset if using X."
"How do I set display resolution?","Set projector resolution in Raspberry Pi Configuration → Display → Resolution (e.g. 1920x1080), or via raspi-config Display Options. Calibration stores projector resolution; without calibration, projector_profile can define it."
"What is the pipeline?","Capture (camera frames) → Detect (IR or bright point → camera x,y) → Track (smoothing in projector space) → Calibration (homography camera→projector) → Interact (PointerEvents) → Render (scenes and overlay) → Operate (CLI and scripts). See docs/04_system_architecture.md."
"What is PointerEvent?","PointerEvent is a dataclass with x, y (float), state (DOWN, MOVE, UP), timestamp, and confidence. Emitted by the interaction layer from the tracked pointer position and previous state. Scenes receive events as dicts via on_pointer(ev)."
"What gestures are supported?","Tap, drag, and long-press. classify_gesture(events) returns tap, drag, long_press, or none. Gestures are derived from DOWN and UP events plus timing and distance. See docs/06_interaction_design.md."
"What is the overlay?","The overlay draws FPS, threshold, and pointer position on top of the scene, plus a green circle at the pointer. Toggle with O key. Implemented in ui/overlay.py draw_overlay()."
"Where is the code?","Source code is in src/smartpi/: core (capture, timing, diagnostics), vision (preprocess, detect_ir, detect_bright, track, calibrate, validate), interaction (events, gesture, adapters), renderer (pygame_app, scenes), ui (calibration_wizard, overlay), and cli."
"How do I run tests?","Run make test or pytest from the repo root. Tests are in tests/; they use fixtures and sample data. No camera required for unit tests. See CONTRIBUTING.md for test and lint commands."
"What is create_capture?","create_capture(camera_index, width, height, fps, use_libcamera) is a factory. When use_libcamera is True and picamera2 is available, it returns LibcameraCapture (Picamera2); otherwise CameraCapture (OpenCV). Same interface: open(), read(), release()."
"What is LibcameraCapture?","LibcameraCapture uses Picamera2 (libcamera) on Raspberry Pi. Same interface as CameraCapture: open() returns bool, read() returns (success, frame) with BGR frame, release() frees the camera. Requires picamera2; not in requirements.txt."
"What is SmoothingTracker?","SmoothingTracker smooths pointer position. Constructor: alpha, max_velocity, use_kalman, process_noise, measurement_noise. When use_kalman is False (default), uses EMA; when True, uses 2D Kalman filter. update(x,y) returns smoothed (x,y); reset() clears state when pointer is lost."
"What is run_app?","run_app(fullscreen, config_dir) is the main Pygame loop. It loads config (and profile), loads calibration or projector_profile, opens capture (create_capture with config.use_libcamera), creates SmoothingTracker (with config.use_kalman), runs detect→homography→track→events→scene, and draws overlay. In renderer/pygame_app.py."
"What is run_wizard?","run_wizard(config_dir, use_pygame=True) runs the calibration wizard. It loads config, opens camera, shows four corner targets, collects four camera points, solves homography, saves calibration.yaml, and can run validation. In ui/calibration_wizard.py."
"Where do I report bugs?","Open an issue on GitHub. Use the bug report template under .github/ISSUE_TEMPLATE/. For hardware compatibility use the hardware_compat template. Include output of smartpi healthcheck and optionally export-diagnostics (no secrets)."
"How do I contribute?","See CONTRIBUTING.md: types of contributions (bugs, features, hardware compat, code, docs), local setup, code style (Ruff, Black, type hints), and PR process. Use issue and PR templates. Code of conduct applies."
"What documentation exists?","docs/00_overview.md, 01_bill_of_materials.md, 02_build_guide.md, 03_repair_forward_notes.md, 04_system_architecture.md, 05_calibration_ux.md, 06_interaction_design.md, 07_troubleshooting.md, 08_safety_and_power.md, 09_accessibility_and_inclusion.md, config_reference.md, api_overview.md; docs/technical/ for deep dives; index.html is the handbook."
"What is the build guide?","docs/02_build_guide.md: step-by-step from fresh Pi to demo running. Steps: prepare Pi, install system deps (OpenCV, SDL, optional libcamera), clone and pip install, connect hardware, healthcheck, calibrate, run demo, optional kiosk and Docker dev."
"USB vs CSI camera?","USB: use /dev/video0 etc.; set camera_index in app.yaml. CSI: use libcamera; install libcamera-dev and python3-libcamera; for Smart Pi libcamera path set use_libcamera: true and install picamera2. Check with ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI)."
"IR pen vs bright pointer?","IR pen: use detector: ir in app.yaml; camera should be IR-sensitive or use IR-pass filter; detect_ir_blob finds the blob. Bright pointer (laser or LED): use detector: bright; detect_bright_point finds brightest pixel above threshold."
"What is blur in config?","blur is the Gaussian blur kernel size (odd integer in pixels) applied before detection; 0 means no blur. Set in app.yaml or in a profile. Larger values reduce noise but can soften small pointers."
"What is threshold in detection?","Threshold (0–255) is the minimum pixel intensity for a point to count as the pointer. Above this value the detector returns a position; below it returns None. Tune per lighting; profiles (classroom, dark_room, daylight) provide presets."
"How do I change profile?","In configs/app.yaml set profile: classroom (or dark_room, daylight). The app loads configs/profiles/<profile>.yaml and merges it over app.yaml. Profile can override threshold, blur, exposure."
"Where is calibration.yaml.example?","configs/calibration.yaml.example shows the schema for calibration.yaml (homography, bounds, resolution). The real calibration.yaml is generated by the wizard and should not be committed."
"What is hardware/projector_profiles?","Directory with YAML files (e.g. generic_1080p.yaml, your_projector_model.yaml) defining resolution and optional refresh_hint. When app.yaml has projector_profile: <name> and no calibration exists, the app loads that file for display size."
"Makefile targets?","Common targets: make install (deps), make test (pytest), make lint (Ruff), make format (Black), make run, make calibrate, make healthcheck. See Makefile in repo root."
"How do I get help?","See README (maintainers, CONTRIBUTING), MAINTAINERS.md, and CONTRIBUTING.md. Open a GitHub issue for bugs or features. Use the handbook (index.html) and docs/ for install and config."
"What is the scope of the project?","Smart Pi provides camera-based interactive projection: capture, detect, track, calibrate, interact, render. In scope: Pi 4/5, projector, USB/CSI camera, IR or bright pointer, Pygame demo scenes, calibration wizard, CLI, BOM and build guide. See README Scope section and ROADMAP."
"What is ROADMAP?","ROADMAP.md describes project phases (e.g. v0.1 demo, v1.0 stable). Check it for planned features and versions."
"Can I use a different projector?","Yes. Connect via HDMI and set resolution in Pi display settings. Calibration maps your physical setup. For display size without calibration, set projector_profile in app.yaml to a file in hardware/projector_profiles/ (e.g. generic_1080p)."
"Can I use a webcam?","Yes. USB webcams appear as /dev/video0 (or higher). Set camera_index in app.yaml. Use detector: bright for a laser or bright LED pointer; for IR you need an IR-sensitive camera or filter."
"How do I add a new scene?","Implement a scene class with draw(surface), and optionally on_pointer(ev) and update(). Register it in the renderer scene dict (e.g. in pygame_app). See existing scenes in renderer/scenes/ (sandbox_draw, particle_field, stem_widgets)."
"What Python version?","Python 3.10 or newer. Check with python3 --version. CI and docs assume 3.10+."
"What dependencies are required?","From requirements.txt: opencv-python-headless (or opencv), numpy, pygame, pyyaml, click (or argparse). See docs/02_build_guide.md for system libs (libopencv-dev, libsdl2-dev, etc.). picamera2 is optional for libcamera on Pi."
"Where is the homography used?","Homography is loaded from configs/calibration.yaml. Every frame, the detected camera-space (x,y) is transformed with apply_homography(H, x, y) to get projector (px, py), which is then passed to the tracker and event layer."
"What is emit_events_from_track?","emit_events_from_track(xy, prev_xy, prev_down) yields PointerEvents (DOWN, MOVE, UP) from the current smoothed pointer position and previous state. Used by the renderer to feed scene.on_pointer. In interaction/gesture.py."
"What is FPSCounter?","FPSCounter in core/timing.py measures frames per second over a sliding window. Used by the main loop and overlay to display FPS. tick() is called each frame; fps() returns the current value."
"What is bundle_diagnostics?","bundle_diagnostics(output_path, include_config, config_dir) creates a .tar.gz with system_info.txt (platform, Python, processor) and optionally config files (excluding calibration.yaml). Used by smartpi export-diagnostics. In core/diagnostics.py."
"What is load_calibration?","load_calibration(path) reads configs/calibration.yaml and returns a dict with homography, bounds, resolution, or None if file missing or invalid. Used at app startup. In vision/calibrate.py."
"What is solve_homography?","solve_homography(src_pts, dst_pts) takes ≥4 camera-space points and 4 projector-space points and returns a 3x3 homography matrix (or None). Uses OpenCV findHomography with RANSAC. Called by the calibration wizard. In vision/calibrate.py."
"What is apply_homography?","apply_homography(H, x, y) transforms a single camera (x,y) to projector (px, py) using the 3x3 matrix H. Used every frame for each detected pointer position. In vision/calibrate.py."
"What is detect_ir_blob?","detect_ir_blob(frame, threshold, blur_ksize, morph_ksize) preprocesses the frame (grayscale, blur, threshold, morphology), finds contours, picks the largest blob above an area threshold, and returns its centroid (cx, cy) or None. In vision/detect_ir.py."
"What is detect_bright_point?","detect_bright_point(frame, threshold, blur_ksize) converts to grayscale, finds the brightest pixel; if its value ≥ threshold returns (x, y), else None. For laser or bright LED. In vision/detect_bright.py."
"What is preprocess_grayscale?","preprocess_grayscale(frame, blur_ksize) converts BGR to grayscale if needed and applies Gaussian blur if blur_ksize > 0. Used by both IR and bright detectors. In vision/preprocess.py."
"What is reprojection_error?","reprojection_error(calibration_path, src_pts, dst_pts) loads calibration, applies homography to each source point, compares to destination points, and returns the median error in pixels (or None). Used for validation after calibration. In vision/validate.py."
"Where are the technical docs?","docs/technical/ has deep dives: 01_system_data_flow_and_services.md, 02_capture_layer.md, 03_vision_preprocess_and_detection.md, 04_tracking_and_calibration.md, 05_interaction_events_gestures_adapters.md, 06_renderer_and_ui.md, 07_cli_config_and_operations.md. Each documents functions, data in/out, and logic."
"What is the handbook?","index.html at the repo root is the project handbook: a single-page reference with Index, Glossary, Get started, Install, Config, Outcomes, Pipeline, Functions and logic, and Contributing. It defines terms and contracts for the whole project."
"How do I cite this project?","Use CITATION.cff in the repo. GitHub shows Cite this repository with the suggested citation. Update the version in CITATION.cff to match releases."
"Where is SECURITY.md?","SECURITY.md at repo root describes how to report vulnerabilities, expected response, and disclosure policy. Linked from README."
"What is CONTRIBUTING.md?","CONTRIBUTING.md describes how to contribute: types of contributions, local setup, adding samples, code style (Ruff, Black, type hints), and the pull request process. Linked from README."
"Does the app use the network?","By default the app does not expose any network ports. All interaction is local (display and camera). A WebSocket adapter exists for sending pointer events over a socket if you integrate a server."
"What is the overlay key?","Press O in the running app to toggle the overlay (FPS, threshold, pointer position, green circle at pointer)."
"How do I switch scenes?","In the running app, press 1 for Sandbox Draw, 2 for Particle Field, 3 for STEM Widgets. Exact keys may be in the renderer; see docs or on-screen hints."
"What is the definition of done for v0.1?","Power on Pi and projector → app can autostart → calibrate in under 2 minutes → draw and interact with particles; repo includes BOM, build guide, and documentation for adding a new scene. See Get started in the handbook."
"Where is the glossary?","The handbook (index.html) has a Glossary section with definitions for terms like BOM, calibration, capture, CLI, config, detector, healthcheck, homography, pointer, profile, scene, and more. Use the Index to jump to terms."
"What is config_dir?","config_dir is the path to the config directory (default configs/). Passed to run_app, run_wizard, and CLI commands. Contains app.yaml, profiles/, calibration.yaml (after calibration), and optionally logging.yaml."
"How do I run fullscreen?","Run smartpi run --fullscreen. The app uses Pygame fullscreen mode. For kiosk, use systemd or autostart so the app starts fullscreen at boot."
"Can I use a virtual environment?","Yes. Create with python3 -m venv .venv, activate it, then pip install -r requirements.txt and optionally pip install -e .. install_pi.sh does not create a venv by default; you can create one first."
"What is the video group?","On Linux, the video group grants access to /dev/video*. If the camera is not detected, add your user: sudo usermod -aG video $USER, then log out and back in. Check with groups."
"Where is calibration stored?","Calibration is stored in configs/calibration.yaml in the repo (or the config_dir you pass). It contains homography (3x3 matrix), bounds, and resolution. Do not commit this file to version control."
"What if healthcheck fails?","Fix camera connection, permissions (video group), and camera_index in app.yaml. For display, ensure HDMI is connected and resolution is set. See docs/07_troubleshooting.md for no camera, low FPS, and other issues."
"What is DST_PTS?","DST_PTS are the fixed projector-space coordinates for the four corners used in calibration. The wizard maps the four camera-space points you tap to these four projector corners to compute the homography."
"What is save_calibration?","save_calibration(path, homography, bounds, resolution) writes the homography matrix, optional bounds, and resolution to a YAML file (e.g. configs/calibration.yaml). Called by the calibration wizard after solving. In vision/calibrate.py."
"What is load_app_config?","_load_app_config(config_dir) in the CLI loads app.yaml and merges the selected profile from configs/profiles/<profile>.yaml. Returns a single dict used by run, healthcheck, and (indirectly) the app. In cli.py."
"Where is the IR pen BOM?","hardware/ir_pen/pen_bom.csv lists parts for building the IR pen. View with smartpi bom --pen or open the file. Assembly and wiring are in hardware/ir_pen/README.md."
"What is the camera mount?","hardware/camera_mount/ has README, stl/, and cad/ for 3D-printable or CAD camera mounts. See hardware/camera_mount/README.md for how to use the files."
"What is the enclosure?","hardware/enclosure/ holds STL files (in stl/) for the physical enclosure. See hardware/enclosure/README.md. Add or use STL files as needed for your build."
"Does the app support multiple pointers?","The current design is single-pointer: one (x,y) in, one (x,y) out per frame. Multi-pointer would require pipeline and UI changes."
"What is the license?","The project uses an OSI-approved license (e.g. MIT or Apache 2.0). See the LICENSE file in the repo root."
"How do I update the handbook?","Edit index.html. The handbook is a single file with sections for Index, Glossary, Get started, Install, Config, Outcomes, Pipeline, Functions and logic, Contributing. Keep it in sync with docs/ and the code."
"Where are diagrams?","docs/diagrams/ contains Mermaid sources: architecture.mmd (pipeline), calibration_flow.mmd. Link from docs and handbook. Render with Mermaid or view as text."
"What is the API overview?","docs/api_overview.md lists the public API: CLI, core (capture, timing, diagnostics, projector_profile, bom), vision (preprocess, detect, track, calibrate, validate), interaction (events, gestures, adapters), renderer, UI. Parameters and returns are in docstrings; see source for authority."
"How do I add a new FAQ to the chatbot?","Edit handbook_chatbot.csv in the repo root. Add a new row with question and response in double quotes, comma-separated. Escape any double quotes inside a field by doubling them. The chatbot loads the CSV and matches user input to the best question."
"Installation steps","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Setup from scratch","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"First time setup","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"How to setup Smart Pi","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Get started install","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Installation guide","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Run install script","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"pip install","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Where do I install","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Install dependencies","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Setup project","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Clone and install","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"How to get the code","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Install on Pi","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Install Raspberry Pi","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Manual install","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Editable install","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"pip install -e .","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Development install","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Install for development","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Prerequisites","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"What do I need","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"Requirements","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"Hardware requirements","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"Software requirements","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"Before I start","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"What hardware","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"Supported hardware","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"Pi version","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"Raspberry Pi version","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"Which Pi","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"Compatible OS","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"Prepare the Pi","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"Prepare Pi","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"First boot","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
